"dong","행정동코드","건물명","상세건물명","건물용도코드","건물용도","lat","long","지상층수","지하층수","연면적"
"장위2동",11290770,NA,NA,1000,"단독주택",37.6163040642993,127.049232935475,2,1,178.04
"장위2동",11290770,NA,NA,1001,"단독주택",37.6115008797756,127.055794789728,1,1,81.7
"장위2동",11290770,NA,NA,1001,"단독주택",37.6112874040627,127.056124485564,1,1,77.01
"장위2동",11290770,NA,NA,3999,"기타제1종근생",37.6112684919644,127.055802667891,2,1,121.84
"장위2동",11290770,NA,NA,1001,"단독주택",37.6112992996291,127.05563840508,0,0,42.89
"장위2동",11290770,NA,NA,1001,"단독주택",37.6113679921111,127.055753238279,1,0,73.02
"장위2동",11290770,NA,NA,1000,"단독주택",37.6113597608015,127.055577731932,1,0,60.08
"장위2동",11290770,NA,NA,1000,"단독주택",37.6114272738422,127.055521093205,1,0,65.6
"장위2동",11290770,NA,NA,1001,"단독주택",37.6115141414563,127.055659094855,1,0,80.52
"장위2동",11290770,NA,NA,1000,"단독주택",37.611495162144,127.055471374505,1,0,64.46
"장위2동",11290770,NA,NA,1001,"단독주택",37.6115938155894,127.055610887411,1,0,76.56
"장위2동",11290770,NA,NA,1000,"단독주택",37.61151907138,127.055380890579,1,0,41.53
"장위2동",11290770,NA,NA,3001,"소매점",37.6124695631036,127.055664738494,1,0,40.96
"장위2동",11290770,NA,NA,1000,"단독주택",37.6126774139955,127.055885194637,3,1,336.81
"장위2동",11290770,NA,NA,3001,"소매점",37.6124044005367,127.056005642391,0,0,157.96
"장위2동",11290770,NA,NA,3001,"소매점",37.6127004862563,127.056053745211,0,0,124.98
"장위2동",11290770,NA,NA,3001,"소매점",37.6126281508855,127.056211821329,0,0,139.42
"장위2동",11290770,NA,NA,3001,"소매점",37.6123465820669,127.056167931522,2,1,358.52
"장위2동",11290770,NA,NA,4010,"학원",37.6125210177099,127.056433900281,0,0,222.7
"장위2동",11290770,NA,NA,4014,"독서실",37.6122865517198,127.056505897074,3,1,456.81
"장위2동",11290770,NA,NA,1000,"단독주택",37.6121619944816,127.05673853709,2,1,289.32
"장위2동",11290770,NA,NA,1001,"단독주택",37.61201841864,127.057134627279,2,1,241.44
"장위2동",11290770,NA,NA,1001,"단독주택",37.6122397498964,127.057388271367,1,0,96.4
"장위2동",11290770,NA,NA,1001,"단독주택",37.6122573883385,127.05775885766,2,1,199.52
"장위2동",11290770,NA,NA,1003,"다가구주택",37.6123717527625,127.057851395864,2,1,130.04
"장위2동",11290770,NA,NA,1001,"단독주택",37.6123935398059,127.057632118533,1,1,54.04
"장위2동",11290770,NA,NA,1001,"단독주택",37.6124402012556,127.057792250189,1,0,64.28
"장위2동",11290770,NA,NA,1001,"단독주택",37.6124446138672,127.057574919813,1,1,50.55
"장위2동",11290770,NA,NA,1001,"단독주택",37.6124987067496,127.057729167586,1,1,63.59
"장위2동",11290770,NA,NA,1001,"단독주택",37.6159502666311,127.051104605641,3,1,222.3
"장위2동",11290770,NA,NA,2003,"다세대주택",37.6158474766577,127.051518200869,2,0,175.04
"장위2동",11290770,"장위동김진홍가(민속자료제25호)",NA,3001,"소매점",37.6159952110288,127.051639347401,0,0,28.32
"장위2동",11290770,"장위동김진홍가(민속자료제25호)",NA,3001,"소매점",37.6162955670762,127.052065039594,0,0,61.22
"장위2동",11290770,"장위동김진홍가(민속자료제25호)",NA,3001,"소매점",37.6161040213994,127.051804563301,0,0,152.48
"장위2동",11290770,"장위동김진홍가(민속자료제25호)",NA,3001,"소매점",37.6161912527036,127.051932015443,0,0,340.25
"장위2동",11290770,"장위동김진홍가(민속자료제25호)",NA,3001,"소매점",37.6163340297291,127.051965360662,0,0,82.48
"장위2동",11290770,NA,NA,8204,"아동복지시설",37.6158067213216,127.051676482824,2,0,267.7
