code,province,dong,acc
1101053,종로구,사직동,9
1101054,종로구,삼청동,2
1101055,종로구,부암동,0
1101056,종로구,평창동,1
1101057,종로구,무악동,0
1101058,종로구,교남동,2
1101060,종로구,가회동,2
1101061,종로구,종로1.2.3.4가동,24
1101063,종로구,종로5.6가동,0
1101064,종로구,이화동,5
1101067,종로구,창신1동,1
1101068,종로구,창신2동,0
1101069,종로구,창신3동,0
1101070,종로구,숭인1동,0
1101071,종로구,숭인2동,1
1101072,종로구,청운효자동,0
1101073,종로구,혜화동,4
1102052,중구,소공동,16
1102054,중구,회현동,10
1102055,중구,명동,21
1102057,중구,필동,4
1102058,중구,장충동,1
1102059,중구,광희동,5
1102060,중구,을지로동,3
1102065,중구,신당5동,0
1102067,중구,황학동,2
1102068,중구,중림동,0
1102069,중구,신당동,2
1102070,중구,다산동,1
1102071,중구,약수동,0
1102072,중구,청구동,0
1102073,중구,동화동,0
1103051,용산구,후암동,0
1103052,용산구,용산2가동,1
1103053,용산구,남영동,4
1103057,용산구,원효로2동,0
1103058,용산구,효창동,1
1103059,용산구,용문동,0
1103063,용산구,이촌1동,2
1103064,용산구,이촌2동,0
1103065,용산구,이태원1동,2
1103066,용산구,이태원2동,0
1103069,용산구,서빙고동,1
1103070,용산구,보광동,0
1103071,용산구,청파동,1
1103072,용산구,원효로1동,0
1103073,용산구,한강로동,7
1103074,용산구,한남동,4
1104052,성동구,왕십리2동,0
1104054,성동구,마장동,0
1104055,성동구,사근동,3
1104056,성동구,행당1동,2
1104057,성동구,행당2동,0
1104058,성동구,응봉동,0
1104059,성동구,금호1가동,0
1104062,성동구,금호4가동,1
1104065,성동구,성수1가1동,2
1104066,성동구,성수1가2동,1
1104067,성동구,성수2가1동,3
1104068,성동구,성수2가3동,1
1104069,성동구,송정동,0
1104070,성동구,용답동,0
1104071,성동구,왕십리도선동,3
1104072,성동구,금호2.3가동,0
1104073,성동구,옥수동,0
1105053,광진구,화양동,4
1105054,광진구,군자동,3
1105055,광진구,중곡1동,0
1105056,광진구,중곡2동,0
1105057,광진구,중곡3동,0
1105058,광진구,중곡4동,0
1105059,광진구,능동,0
1105060,광진구,구의1동,1
1105061,광진구,구의2동,2
1105062,광진구,구의3동,3
1105063,광진구,광장동,2
1105064,광진구,자양1동,1
1105065,광진구,자양2동,1
1105066,광진구,자양3동,4
1105067,광진구,자양4동,1
1106071,동대문구,회기동,3
1106072,동대문구,휘경1동,0
1106073,동대문구,휘경2동,0
1106080,동대문구,청량리동,0
1106081,동대문구,용신동,1
1106082,동대문구,제기동,0
1106083,동대문구,전농1동,1
1106084,동대문구,전농2동,1
1106086,동대문구,답십리2동,0
1106087,동대문구,장안1동,1
1106088,동대문구,장안2동,2
1106089,동대문구,이문1동,3
1106090,동대문구,이문2동,0
1106091,동대문구,답십리1동,1
1107052,중랑구,면목2동,0
1107054,중랑구,면목4동,0
1107055,중랑구,면목5동,0
1107057,중랑구,면목7동,1
1107059,중랑구,상봉1동,1
1107060,중랑구,상봉2동,5
1107061,중랑구,중화1동,0
1107062,중랑구,중화2동,0
1107064,중랑구,묵1동,1
1107065,중랑구,묵2동,0
1107068,중랑구,망우3동,0
1107069,중랑구,신내1동,1
1107070,중랑구,신내2동,1
1107071,중랑구,면목본동,0
1107072,중랑구,면목3.8동,0
1107073,중랑구,망우본동,1
1108058,성북구,돈암1동,1
1108059,성북구,돈암2동,1
1108060,성북구,안암동,3
1108061,성북구,보문동,0
1108062,성북구,정릉1동,0
1108063,성북구,정릉2동,0
1108064,성북구,정릉3동,0
1108065,성북구,정릉4동,0
1108066,성북구,길음1동,0
1108068,성북구,길음2동,3
1108071,성북구,월곡1동,0
1108072,성북구,월곡2동,1
1108076,성북구,장위1동,0
1108077,성북구,장위2동,0
1108078,성북구,장위3동,0
1108081,성북구,성북동,2
1108082,성북구,삼선동,1
1108083,성북구,동선동,3
1108084,성북구,종암동,3
1108085,성북구,석관동,0
1109060,강북구,번1동,3
1109061,강북구,번2동,0
1109062,강북구,번3동,1
1109063,강북구,수유1동,0
1109064,강북구,수유2동,0
1109065,강북구,수유3동,2
1109069,강북구,삼양동,0
1109070,강북구,미아동,2
1109071,강북구,송중동,2
1109072,강북구,송천동,1
1109073,강북구,삼각산동,1
1109074,강북구,우이동,0
1109075,강북구,인수동,0
1110051,도봉구,쌍문1동,0
1110052,도봉구,쌍문2동,1
1110053,도봉구,쌍문3동,0
1110054,도봉구,쌍문4동,0
1110055,도봉구,방학1동,0
1110056,도봉구,방학2동,0
1110057,도봉구,방학3동,0
1110059,도봉구,창1동,1
1110060,도봉구,창2동,0
1110061,도봉구,창3동,0
1110062,도봉구,창4동,0
1110063,도봉구,창5동,2
1110064,도봉구,도봉1동,1
1110065,도봉구,도봉2동,0
1111051,노원구,월계1동,1
1111052,노원구,월계2동,1
1111053,노원구,월계3동,2
1111056,노원구,공릉2동,2
1111058,노원구,하계1동,1
1111059,노원구,하계2동,0
1111060,노원구,중계본동,0
1111061,노원구,중계1동,2
1111064,노원구,중계4동,0
1111065,노원구,상계1동,2
1111066,노원구,상계2동,2
1111069,노원구,상계5동,0
1111072,노원구,상계8동,0
1111073,노원구,상계9동,0
1111074,노원구,상계10동,1
1111076,노원구,상계3.4동,0
1111077,노원구,상계6.7동,5
1111078,노원구,중계2.3동,2
1111079,노원구,공릉1동,2
1112051,은평구,녹번동,0
1112052,은평구,불광1동,2
1112055,은평구,갈현1동,1
1112056,은평구,갈현2동,1
1112057,은평구,구산동,1
1112058,은평구,대조동,3
1112059,은평구,응암1동,3
1112060,은평구,응암2동,0
1112065,은평구,신사1동,0
1112066,은평구,신사2동,0
1112067,은평구,증산동,0
1112068,은평구,수색동,0
1112071,은평구,진관동,3
1112072,은평구,불광2동,0
1112073,은평구,응암3동,0
1112074,은평구,역촌동,0
1113052,서대문구,천연동,0
1113062,서대문구,홍제1동,1
1113064,서대문구,홍제3동,1
1113065,서대문구,홍제2동,0
1113066,서대문구,홍은1동,0
1113068,서대문구,홍은2동,0
1113069,서대문구,남가좌1동,1
1113070,서대문구,남가좌2동,1
1113071,서대문구,북가좌1동,0
1113072,서대문구,북가좌2동,0
1113073,서대문구,충현동,3
1113074,서대문구,북아현동,1
1113075,서대문구,신촌동,15
1113076,서대문구,연희동,2
1114059,마포구,용강동,3
1114060,마포구,대흥동,3
1114061,마포구,염리동,1
1114063,마포구,신수동,0
1114066,마포구,서교동,19
1114068,마포구,합정동,1
1114069,마포구,망원1동,1
1114070,마포구,망원2동,0
1114071,마포구,연남동,0
1114072,마포구,성산1동,1
1114073,마포구,성산2동,1
1114074,마포구,상암동,7
1114075,마포구,도화동,2
1114076,마포구,서강동,3
1114077,마포구,공덕동,2
1114078,마포구,아현동,2
1115051,양천구,목1동,9
1115052,양천구,목2동,0
1115053,양천구,목3동,1
1115054,양천구,목4동,0
1115057,양천구,신월1동,0
1115058,양천구,신월2동,0
1115059,양천구,신월3동,2
1115060,양천구,신월4동,1
1115061,양천구,신월5동,0
1115062,양천구,신월6동,0
1115063,양천구,신월7동,0
1115064,양천구,신정1동,0
1115065,양천구,신정2동,0
1115066,양천구,신정3동,0
1115069,양천구,신정6동,1
1115070,양천구,신정7동,1
